Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-01-20,128.964401,129.413727,125.565207,125.672654,104319500
2021-01-21,133.691986,136.426975,130.488146,130.693277,120150900
2021-01-22,135.840958,136.602846,131.884991,133.115730,114459400
2021-01-25,139.601517,141.721129,133.369650,139.748043,157611700
2021-01-26,139.835968,140.949498,138.087522,140.265754,98390600
2021-01-27,138.761505,140.949500,137.149822,140.099690,140843800
2021-01-28,133.906906,138.693142,133.525962,136.280492,142621100
2021-01-29,128.896057,133.565070,127.186690,132.676196,177523800
2021-02-01,131.025391,132.236604,127.889917,130.644447,106239800
2021-02-02,131.855682,133.145026,131.484501,132.578491,83305400
2021-02-03,130.830063,132.617574,130.507723,132.607797,89880900
2021-02-04,134.199966,134.209729,131.464976,133.135279,84183100
2021-02-05,133.784180,134.429822,132.903769,134.361353,75693800
2021-02-08,133.930923,133.979838,131.984219,133.070067,71297200
2021-02-09,133.050507,134.879827,132.893999,133.647234,76774200
2021-02-10,132.443970,134.009160,131.475506,133.510248,73046600
2021-02-11,132.189682,133.422260,130.859274,132.942917,64280000
2021-02-12,132.424423,132.580945,130.780986,131.426629,60145100
2021-02-16,130.291885,133.050516,129.900580,132.541842,80576300
2021-02-17,127.993034,129.343012,126.652849,128.394117,97918500
2021-02-18,126.887589,127.171272,124.637632,126.388676,96856700
2021-02-19,127.044136,127.865870,125.997426,127.406095,87668800
2021-02-22,123.258316,126.897372,122.867018,125.224574,103916400
2021-02-23,123.121376,123.952879,115.813917,121.067072,158273000
2021-02-24,122.622459,122.827889,119.570353,122.221385,111039900
2021-02-25,118.357330,123.708308,117.917125,121.967041,148199500
2021-02-26,118.621468,122.133348,118.562768,119.922522,164560400
2021-03-01,125.009384,125.146337,120.118180,121.057291,116307900
2021-03-02,122.397469,125.919133,122.289862,125.615881,102260900
2021-03-03,119.404053,122.974633,119.188839,122.094215,112966300
2021-03-04,117.516060,120.910557,116.038922,119.100813,178155000
2021-03-05,118.777969,119.286659,115.011745,118.347549,153766600
2021-03-08,113.828079,118.367115,113.681342,118.298639,154376600
2021-03-09,118.455154,119.404049,116.205205,116.439981,129525800
2021-03-10,117.369324,119.511666,116.850850,119.042114,111943300
